Empresa Aérea;N Voo;Aeroporto de Origem Designador OACI;Nome/UF/Pai�s Origem;Aeroporto de Destino Designador OACI;Nome/UF/Pai�s Destino;Etapas Previstas;% de Cancelamentos;% de Atrasos Superiores a 30 min;% de Atrasos Superiores a 60 min
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4367;SBFL;HERCÍLIO LUZ(SC, BRASIL);SBPA;SALGADO FILHO(RS, BRASIL);1;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4368;SBKP;VIRACOPOS(SP, BRASIL);SBFL;HERCÍLIO LUZ(SC, BRASIL);29;0;13,79;10,34
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4371;SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);24;0;4,17;4,17
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4372;SBKP;VIRACOPOS(SP, BRASIL);SBSV;DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL);28;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4375;SBMQ;ALBERTO ALCOLUMBRE(AP, BRASIL);SBBE;INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL);14;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4375;SBBE;INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);30;0;6,67;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4376;SBCF;TANCREDO NEVES(MG, BRASIL);SBUL;TEN CEL AVIADOR CÉSAR BOMBONATO(MG, BRASIL);30;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4377;SBUL;TEN CEL AVIADOR CÉSAR BOMBONATO(MG, BRASIL);SBCF;TANCREDO NEVES(MG, BRASIL);30;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4378;SBTE;SENADOR PETRÔNIO PORTELLA(PI, BRASIL);SBPB;AEROPORTO INTERNACIONAL DE PARNAÍBA / PREFEITO DOUTOR JOÃO SILVA FILHO(PI, BRASIL);4;0;0;0
AZU - AZUL LINHAS AÉREAS BRASILEIRAS S/A;4378;SBKP;VIRACOPOS(SP, BRASIL);SBTE;SENADOR PETRÔNIO PORTELLA(PI, BRASIL);26;0;0;0
