Aeroporto de Origem Designador OACI;Nome/UF/País Origem;Aeroporto de Destino Designador OACI;Nome/UF/País Destino;Etapas Previstas;% de Cancelamentos;% de Atrasos Superiores a 30 min;% de Atrasos Superiores a 60 min
SBBE;INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL);SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);33;6,06;6,45;3,23
SBBE;INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL);SBCF;TANCREDO NEVES(MG, BRASIL);31;0;9,68;3,23
SBBE;INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL);SBCJ;CARAJÁS(PA, BRASIL);9;0;0;0
SBBE;INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL);SBEG;EDUARDO GOMES(AM, BRASIL);47;0;10,64;6,38
SBBE;INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL);SBFZ;PINTO MARTINS(CE, BRASIL);47;2,13;4,35;0
SBBE;INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);19;0;10,53;5,26
SBBE;INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL);SBHT;ALTAMIRA(PA, BRASIL);19;0;0;0
SBBE;INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL);SBIZ;PREFEITO RENATO MOREIRA(MA, BRASIL);9;0;0;0
SBBE;INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL);SBKP;VIRACOPOS(SP, BRASIL);43;0;4,65;0
SBBE;INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL);SBMA;JOÃO CORREA DA ROCHA(PA, BRASIL);29;0;0;0
SBBE;INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL);SBMD;MONTE DOURADO(PA, BRASIL);21;9,52;5,26;5,26
SBBE;INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL);SBMQ;ALBERTO ALCOLUMBRE(AP, BRASIL);79;5,06;8;0
SBBE;INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL);SBRF;GUARARAPES - GILBERTO FREYRE(PE, BRASIL);57;3,51;1,82;1,82
SBBE;INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL);SBSN;MAESTRO WILSON FONSECA(PA, BRASIL);46;8,7;2,38;2,38
SBBE;INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL);SNVS;BREVES(PA, BRASIL);21;19,05;5,88;0
SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);LPPT;LISBOA(, PORTUGAL);4;25;0;0
SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);MPTO;TOCUMEN INTL(, PANAMÁ);17;52,94;0;0
SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBAR;SANTA MARIA(SE, BRASIL);17;0;0;0
SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBBE;INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL);33;3,03;3,13;0
SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBBV;ATLAS BRASIL CANTANHEDE(RR, BRASIL);29;3,45;3,57;3,57
SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBCF;TANCREDO NEVES(MG, BRASIL);129;0,78;2,34;0,78
SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBCG;CAMPO GRANDE(MS, BRASIL);22;0;0;0
SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBCJ;CARAJÁS(PA, BRASIL);5;0;20;0
SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBCT;AFONSO PENA(PR, BRASIL);32;0;0;0
SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBCY;MARECHAL RONDON(MT, BRASIL);40;2,5;0;0
SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBEG;EDUARDO GOMES(AM, BRASIL);45;0;0;0
SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBFL;HERCÍLIO LUZ(SC, BRASIL);20;0;0;0
SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBFZ;PINTO MARTINS(CE, BRASIL);71;11,27;0;0
SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBGL;AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL);24;4,17;0;0
SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBGO;SANTA GENOVEVA/GOIÂNIA(GO, BRASIL);34;14,71;0;0
SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBGR;GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL);172;2,91;0,6;0,6
SBBR;PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL);SBJP;PRESIDENTE CASTRO PINTO(PB, BRASIL);23;0;0;0
